standard,category,count
c89,basic-address-dereference,150
c89,null-pointer,10
c89,pointer-difference-offset,21
c89,struct-initializer-list,7
c89,struct-assignment,9
c89,union-initializer-list,5
c89,union-assignment,5
c89,member-access,77
c89,void-pointer,5
c89,function-pointer,58
c89,allocation,43
c89,free,15
c89,qsort,5
c89,memory,6
c89,string,5
c89,goto,5
c89,variadic,5
c89,conversion,9
c99,vla,5
c99,designated-initializer,5
c99,compound-literal,5
c99,flexible-array,5
c11,aligned-alloc,5
c11,anonymous-struct-union,5
cpp98,this-pointer,5
cpp98,constructor,6
cpp98,destructor,5
cpp98,virtual-function,23
cpp98,copy-constructor,5
cpp98,new,6
cpp98,delete,5
cpp98,exception,5
cpp98,static-cast,5
cpp98,dynamic-cast,5
cpp98,const-cast,5
cpp98,reinterpret-cast,9
cpp98,stl-linear-container,30
cpp98,stl-other-container,18
cpp98,stl-iterator,13
cpp98,stl-sort,5
cpp98,stl-copy,5
cpp98,stl-functional,19
cpp98,stl-exception,5
cpp98,static-dynamic-type,5
cpp98,subobject-pointer-adjustment,12
cpp98,char-pointer,5
cpp11,move,5
cpp11,smart-pointer,12
cpp11,lambda,12
cpp11,initializer-list,5
cpp11,stl-container,16
cpp11,emplace,5
cpp17,memory,5
cpp17,vocabulary-type,10
cpp20,ebo,5
cpp20,ranges,5
